X,year,site,nest,exp,type,laid,hatch,manip,ring,mate_ring,chick1,chick2,chick3,chick4,chick5,chick6,comments,field_sex_focal,field_sex_mate,code,nest.id,year.cr,year.mr,year.code,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,latitude,longitude,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,layingdate,check.estld,first.d.seen,last.d.seen,mol_sex,mol_sex_focal,mol_sex_mate,first.res.bs,last.res.bs,population,captured_focalyear_focal,captured_focalyear_mate,comments_field,comments_stdfile,northing,easting,estimated.hd
610,2011,E,2,ParCare,CFall,526,626,NA,CA242,CA2575,CA3228,CA3229,CA3230,NA,NA,NA,NA,F,M,WX.MX|BX.YX,2011-E-2,2006,2006,2011-WX.MX|BX.YX,11/06/2011,25/06/2011,12/06/2011,12/06/2011,12/06/2011,12/06/2011,526,531,626,HATCH,23.92081642,-106.96,3,3,26/05/2011,31/05/2011,26/06/2011,26/06/2011,628,713,NA,0,5,NA,NA,628,713,713,NA,28/06/2011,13/07/2011,NA,NA,NA,28/06/2011,13/07/2011,13/07/2011,NA,28/06/2011,NA,17.1,6.6,28/06/2011,NA,17,6.4,28/06/2011,NA,16.6,6.5,17.1,28/06/2011,-1.640776699,28/06/2011,04/06/2011,26/05/2011,9.640776699,11/06/2011,13/07/2011,F,F,M,11/06/2011,25/06/2011,Ceuta,NA,NA,NA,NA,NA,NA,NA
611,2011,E,3,U,U,523,612,NA,CA3211,CA1224,CA3213,CA3215,NA,NA,NA,NA,NA,F,M,GX.MX|BX.OX,2011-E-3,2011,2011,2011-GX.MX|BX.OX,11/06/2011,11/06/2011,04/06/2011,04/06/2011,04/06/2011,04/06/2011,523,531,612,HATCH,23.91446453,-106.95,3,3,23/05/2011,31/05/2011,12/06/2011,12/06/2011,612,612,615,8,9,612,615,612,701,701,NA,12/06/2011,12/06/2011,15/06/2011,12/06/2011,15/06/2011,12/06/2011,01/07/2011,01/07/2011,NA,11/06/2011,NA,16.5,6.1,15/06/2011,NA,17.6,5.5,NA,NA,NA,NA,17.6,15/06/2011,-0.022653722,15/06/2011,21/05/2011,23/05/2011,-1.977346278,04/06/2011,01/07/2011,F,F,M,11/06/2011,11/06/2011,Ceuta,NA,NA,NA,NA,NA,NA,NA
613,2011,E,5,ParCare,CFall,529,628,NA,CA3210,CA2574,CA3224,CA3225,CA3227,NA,NA,NA,NA,F,M,BX.WM|OX.LX,2011-E-5,2011,2011,2011-BX.WM|OX.LX,11/06/2011,25/06/2011,04/06/2011,04/06/2011,04/06/2011,04/06/2011,529,603,628,HATCH,23.91887345,-106.96,3,3,29/05/2011,03/06/2011,28/06/2011,28/06/2011,626,629,702,2,7,629,702,626,704,704,NA,26/06/2011,29/06/2011,02/07/2011,29/06/2011,02/07/2011,26/06/2011,04/07/2011,04/07/2011,NA,26/06/2011,NA,17.6,6.6,26/06/2011,NA,17.7,6.8,26/06/2011,NA,17.5,6.9,17.7,26/06/2011,0.300970874,26/06/2011,31/05/2011,29/05/2011,2.699029126,04/06/2011,04/07/2011,F,F,M,11/06/2011,25/06/2011,Ceuta,NA,NA,NA,NA,NA,NA,NA
616,2011,E,8,U,U,602,630,NA,CA1278,CA2573,CA3231,CA3232,NA,NA,NA,NA,NA,F,M,MX.RX|BX.OX,2011-E-8,2008,2007,2011-MX.RX|BX.OX,19/01/2011,08/07/2011,10/05/2011,12/06/2011,10/05/2011,12/06/2011,602,604,630,HATCH,23.91686109,-106.96,3,3,02/06/2011,04/06/2011,30/06/2011,30/06/2011,701,706,NA,0,3,NA,NA,701,706,706,NA,01/07/2011,06/07/2011,NA,NA,NA,01/07/2011,06/07/2011,06/07/2011,NA,01/07/2011,NA,17,6,01/07/2011,NA,16.9,5.4,NA,NA,NA,NA,17,01/07/2011,-1.964401294,01/07/2011,07/06/2011,02/06/2011,5.964401294,19/01/2011,08/07/2011,F,F,M,31/05/2011,08/07/2011,Ceuta,NA,NA,NA,NA,NA,NA,NA
617,2011,E,9,U,U,622,NA,NA,CA2592,NA,NA,NA,NA,NA,NA,NA,NA,F,M,OX.GX|OX.MX,2011-E-9,2011,2011,2011-OX.GX|OX.MX,NA,NA,27/06/2011,27/06/2011,27/06/2011,27/06/2011,622,627,703,FLOODED,23.9171716,-106.96,0,3,22/06/2011,27/06/2011,03/07/2011,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/06/2011,NA,27/06/2011,27/06/2011,F,F,NA,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
618,2011,E,10,U,U,621,NA,NA,CA1519,NA,NA,NA,NA,NA,NA,NA,NA,F,M,WX.BX|YX.MX,2011-E-10,2008,2008,2011-WX.BX|YX.MX,19/01/2011,11/06/2011,10/05/2011,01/07/2011,10/05/2011,01/07/2011,621,629,703,FLOODED,23.91442758,-106.95,0,3,21/06/2011,29/06/2011,03/07/2011,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/06/2011,NA,19/01/2011,01/07/2011,F,F,NA,19/04/2011,11/06/2011,Ceuta,NA,NA,NA,NA,NA,NA,NA
619,2012,B,101,U,U,430,430,NA,CA2367,NA,CA3239,NA,NA,NA,NA,NA,NA,F,M,GX.MX|GX.LX,2012-B-101,2011,2011,2012-GX.MX|GX.LX,17/05/2012,31/05/2012,23/05/2012,17/06/2012,23/05/2012,17/06/2012,430,520,524,HATCH,23.91096224,-106.96,1,2,30/04/2012,20/05/2012,24/05/2012,30/04/2012,524,528,NA,0,3,NA,NA,524,528,528,NA,24/05/2012,28/05/2012,NA,NA,NA,24/05/2012,28/05/2012,28/05/2012,NA,24/05/2012,NA,17.2,6.3,NA,NA,NA,NA,NA,NA,NA,NA,17.2,24/05/2012,-1.317152104,24/05/2012,30/04/2012,30/04/2012,0.317152104,17/05/2012,17/06/2012,F,F,NA,17/05/2012,31/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
620,2012,C,101,U,U,507,507,NA,CA3303,CA1416,CA3310,CA3311,CA3312,NA,NA,NA,NA,F,M,YX.RX|YX.MX,2012-C-101,2012,2012,2012-YX.RX|YX.MX,07/06/2012,07/06/2012,21/05/2012,21/05/2012,21/05/2012,21/05/2012,507,518,601,HATCH,23.91623705,-106.96,3,3,07/05/2012,18/05/2012,01/06/2012,07/05/2012,601,605,NA,0,2,NA,NA,601,605,605,NA,01/06/2012,05/06/2012,NA,NA,NA,01/06/2012,05/06/2012,05/06/2012,NA,01/06/2012,NA,17.6,6.2,01/06/2012,NA,17.1,6.1,01/06/2012,NA,17,5.5,17.6,01/06/2012,-0.022653722,01/06/2012,07/05/2012,07/05/2012,0.022653722,21/05/2012,07/06/2012,F,F,M,07/06/2012,07/06/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
621,2012,C,301,U,U,608,NA,NA,CA2367,CA1310,NA,NA,NA,NA,NA,NA,NA,F,M,GX.MX|GX.LX,2012-C-301,2011,2011,2012-GX.MX|GX.LX,17/05/2012,31/05/2012,23/05/2012,17/06/2012,23/05/2012,17/06/2012,608,612,NA,UNKNOWN,23.91496347,-106.96,NA,3,08/06/2012,12/06/2012,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/06/2012,NA,17/05/2012,17/06/2012,F,F,M,17/05/2012,31/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
622,2012,D,1,U,U,505,505,NA,CA2039,CA2043,CA3246,CA3247,CA3253,NA,NA,NA,NA,F,M,MX.YX|BX.BX,2012-D-1,2010,2009,2012-MX.YX|BX.BX,NA,NA,22/05/2012,22/05/2012,22/05/2012,22/05/2012,505,428,529,HATCH,23.91825981,-106.97,3,3,05/05/2012,28/04/2012,29/05/2012,05/05/2012,529,602,603,3,5,602,603,529,608,608,NA,29/05/2012,02/06/2012,03/06/2012,02/06/2012,03/06/2012,29/05/2012,08/06/2012,08/06/2012,NA,29/05/2012,NA,17.5,6.2,29/05/2012,NA,16.3,6.3,02/06/2012,NA,17.1,4.7,17.5,29/05/2012,-0.346278317,29/05/2012,04/05/2012,05/05/2012,-0.653721683,22/05/2012,08/06/2012,F,F,M,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
623,2012,D,2,U,U,504,NA,NA,CA081,CA1418,NA,NA,NA,NA,NA,NA,NA,F,M,WX.MX|OX.OX,2012-D-2,2006,2006,2012-WX.MX|OX.OX,29/05/2012,29/05/2012,07/05/2012,17/05/2012,07/05/2012,17/05/2012,504,506,528,PREDATED,23.91875043,-106.97,0,3,04/05/2012,06/05/2012,28/05/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/05/2012,NA,07/05/2012,29/05/2012,F,F,M,29/05/2012,29/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
625,2012,D,4,U,U,510,510,NA,CA2584,CA048,CA3254,CA3255,CA3260,NA,NA,NA,NA,F,M,WX.RX|OX.MX,2012-D-4,2011,2011,2012-WX.RX|OX.MX,07/05/2012,07/05/2012,17/05/2012,17/05/2012,17/05/2012,17/05/2012,510,515,602,HATCH,23.91744549,-106.97,3,3,10/05/2012,15/05/2012,02/06/2012,10/05/2012,605,612,NA,1,6,NA,NA,605,612,612,NA,05/06/2012,12/06/2012,NA,NA,NA,05/06/2012,12/06/2012,12/06/2012,NA,02/06/2012,NA,17.7,6.3,02/06/2012,NA,17.7,6.6,03/06/2012,NA,17.9,6.7,17.9,03/06/2012,0.948220065,03/06/2012,08/05/2012,10/05/2012,-1.948220065,07/05/2012,12/06/2012,F,F,M,07/05/2012,07/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
626,2012,D,5,U,U,508,508,NA,CA2369,CA3234,CA3308,CA3309,NA,NA,NA,NA,NA,F,M,GX.MX|RX.BX,2012-D-5,2011,2011,2012-GX.MX|RX.BX,16/05/2012,12/06/2012,17/05/2012,17/05/2012,17/05/2012,17/05/2012,508,515,528,HATCH,23.91920029,-106.97,3,3,08/05/2012,15/05/2012,28/05/2012,08/05/2012,528,601,NA,0,3,NA,NA,528,601,601,NA,28/05/2012,01/06/2012,NA,NA,NA,28/05/2012,01/06/2012,01/06/2012,NA,28/05/2012,NA,16.8,5.7,28/05/2012,NA,17,6.2,NA,NA,NA,NA,17,28/05/2012,-1.964401294,28/05/2012,04/05/2012,08/05/2012,-3.035598706,16/05/2012,12/06/2012,M,M,M,16/05/2012,12/06/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
629,2012,D,102,U,U,530,NA,NA,CA3221,CA3262,NA,NA,NA,NA,NA,NA,NA,F,M,MX.OX|BX.GX,2012-D-102,2012,2011,2012-MX.OX|BX.GX,NA,NA,13/06/2012,13/06/2012,13/06/2012,13/06/2012,530,531,624,PREDATED,23.92093577,-106.96,0,3,30/05/2012,31/05/2012,24/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30/05/2012,NA,13/06/2012,13/06/2012,F,F,M,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
630,2012,D,301,U,U,609,NA,NA,CA3313,CA3266,NA,NA,NA,NA,NA,NA,NA,F,M,OX.WX|YX.MX,2012-D-301,2012,2012,2012-OX.WX|YX.MX,19/06/2012,19/06/2012,17/06/2012,17/06/2012,17/06/2012,17/06/2012,609,612,NA,UNKNOWN,23.91539529,-106.96,NA,2,09/06/2012,12/06/2012,NA,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/06/2012,NA,17/06/2012,19/06/2012,F,F,M,19/06/2012,19/06/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
631,2012,E,101,U,U,505,NA,NA,CA2082,CA1430,NA,NA,NA,NA,NA,NA,NA,F,M,YX.MX|WX.GX,2012-E-101,2006,2006,2012-YX.MX|WX.GX,NA,NA,20/05/2012,20/05/2012,20/05/2012,20/05/2012,505,518,530,UNKNOWN,23.91743903,-106.96,NA,2,05/05/2012,18/05/2012,30/05/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/05/2012,NA,20/05/2012,20/05/2012,F,F,M,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
634,2012,G,3,U,U,513,NA,NA,CA2393,CA2245,NA,NA,NA,NA,NA,NA,NA,F,M,GX.MX|LX.OX,2012-G-3,2011,2011,2012-GX.MX|LX.OX,07/05/2012,12/06/2012,21/05/2012,21/05/2012,21/05/2012,21/05/2012,513,518,528,FLOODED,23.92517921,-106.97,0,3,13/05/2012,18/05/2012,28/05/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/05/2012,NA,07/05/2012,12/06/2012,F,F,M,07/05/2012,12/06/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
635,2012,G,4,U,U,516,516,NA,CA3216,CA3258,CA3257,CA3261,NA,NA,NA,NA,NA,F,M,YX.BX|OX.MX,2012-G-4,2011,2011,2012-YX.BX|OX.MX,NA,NA,20/05/2012,20/05/2012,20/05/2012,20/05/2012,516,518,603,HATCH,23.92410651,-106.97,3,3,16/05/2012,18/05/2012,03/06/2012,16/05/2012,603,603,NA,0,1,NA,NA,603,603,603,NA,03/06/2012,03/06/2012,NA,NA,NA,03/06/2012,03/06/2012,03/06/2012,NA,02/06/2012,NA,16.6,5.5,03/06/2012,NA,15.6,5.7,NA,NA,NA,NA,16.6,02/06/2012,-3.258899676,02/06/2012,11/05/2012,16/05/2012,-4.741100324,20/05/2012,03/06/2012,F,F,M,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
636,2012,G,5,U,U,517,NA,NA,CA3202,CA3237,NA,NA,NA,NA,NA,NA,NA,F,M,MX.BX|WX.RX,2012-G-5,2012,2011,2012-MX.BX|WX.RX,05/06/2012,12/06/2012,20/05/2012,20/05/2012,20/05/2012,20/05/2012,517,519,604,FLOODED,23.92280012,-106.97,0,3,17/05/2012,19/05/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/05/2012,NA,20/05/2012,12/06/2012,F,F,F,05/06/2012,12/06/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
637,2012,G,6,U,U,511,511,NA,CA3242,CA2519,CA3259,NA,NA,NA,NA,NA,NA,F,M,GX.OX|OX.MX,2012-G-6,2012,2012,2012-GX.OX|OX.MX,NA,NA,29/05/2012,29/05/2012,29/05/2012,29/05/2012,511,519,603,HATCH,23.92326725,-106.97,1,3,11/05/2012,19/05/2012,03/06/2012,11/05/2012,603,603,NA,0,1,NA,NA,603,603,603,NA,03/06/2012,03/06/2012,NA,NA,NA,03/06/2012,03/06/2012,03/06/2012,NA,03/06/2012,NA,17.9,6.1,NA,NA,NA,NA,NA,NA,NA,NA,17.9,03/06/2012,0.948220065,03/06/2012,08/05/2012,11/05/2012,-2.948220065,29/05/2012,03/06/2012,F,F,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
638,2012,G,7,U,U,514,NA,NA,CA2555,CA2399,NA,NA,NA,NA,NA,NA,NA,F,M,MX.OX|GX.YX,2012-G-7,2012,2011,2012-MX.OX|GX.YX,22/05/2012,22/05/2012,21/05/2012,21/05/2012,21/05/2012,21/05/2012,514,519,601,PREDATED,23.9239324,-106.97,0,3,14/05/2012,19/05/2012,01/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2012,NA,21/05/2012,22/05/2012,F,F,M,22/05/2012,22/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
639,2012,G,8,U,U,514,NA,NA,CA2271,CA3305,NA,NA,NA,NA,NA,NA,NA,F,M,MX.BX|LX.WX,2012-G-8,2012,2009,2012-MX.BX|LX.WX,NA,NA,21/05/2012,21/05/2012,21/05/2012,21/05/2012,514,519,604,FLOODED,23.92369089,-106.97,0,3,14/05/2012,19/05/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/05/2012,NA,21/05/2012,21/05/2012,F,F,M,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
641,2012,G,10,U,U,515,NA,NA,CA2538,CA2595,NA,NA,NA,NA,NA,NA,NA,F,M,MX.BX|LX.YX,2012-G-10,2012,2011,2012-MX.BX|LX.YX,04/06/2012,08/06/2012,20/05/2012,20/05/2012,20/05/2012,20/05/2012,515,520,528,PREDATED,23.92381727,-106.97,0,3,15/05/2012,20/05/2012,28/05/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2012,NA,20/05/2012,08/06/2012,F,F,M,04/06/2012,08/06/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
643,2012,G,12,U,U,505,505,NA,CA1268,CA1272,CA3248,CA3249,CA3250,NA,NA,NA,NA,F,M,LX.MX|OX.WX,2012-G-12,2007,2007,2012-LX.MX|OX.WX,07/05/2012,16/05/2012,30/05/2012,30/05/2012,30/05/2012,30/05/2012,505,524,530,HATCH,23.92139443,-106.97,3,3,05/05/2012,24/05/2012,30/05/2012,05/05/2012,530,602,603,2,7,602,603,530,604,604,NA,30/05/2012,02/06/2012,03/06/2012,02/06/2012,03/06/2012,30/05/2012,04/06/2012,04/06/2012,NA,30/05/2012,NA,17.3,5.4,30/05/2012,NA,17,5.6,30/05/2012,NA,16.6,5.3,17.3,30/05/2012,-0.993527508,30/05/2012,05/05/2012,05/05/2012,0.993527508,07/05/2012,04/06/2012,F,F,M,07/05/2012,16/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
644,2012,G,201,U,U,512,NA,NA,CA242,CA3236,NA,NA,NA,NA,NA,NA,NA,F,M,WX.MX|BX.YX,2012-G-201,2006,2006,2012-WX.MX|BX.YX,22/05/2012,22/05/2012,31/05/2012,31/05/2012,31/05/2012,31/05/2012,512,520,604,FLOODED,23.92499121,-106.97,0,3,12/05/2012,20/05/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/05/2012,NA,22/05/2012,31/05/2012,F,F,M,22/05/2012,22/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
646,2012,G,203,U,U,515,NA,NA,CA1550,CA2570,NA,NA,NA,NA,NA,NA,female possibly CA3238?,F,M,GX.MX|OX.WX,2012-G-203,2008,2008,2012-GX.MX|OX.WX,22/05/2012,22/05/2012,22/05/2012,22/05/2012,22/05/2012,22/05/2012,515,520,604,FLOODED,23.92643661,-106.97,0,3,15/05/2012,20/05/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2012,NA,22/05/2012,22/05/2012,F,F,M,22/05/2012,22/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
647,2012,G,204,U,U,517,NA,NA,CA3218,CA2100,NA,NA,NA,NA,NA,NA,NA,F,M,MX.OX|RX.BX,2012-G-204,2012,2011,2012-MX.OX|RX.BX,08/06/2012,15/06/2012,26/05/2012,26/05/2012,26/05/2012,26/05/2012,517,522,604,FLOODED,23.92399496,-106.97,0,3,17/05/2012,22/05/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/05/2012,NA,26/05/2012,15/06/2012,F,F,M,08/06/2012,15/06/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
648,2012,G,301,U,U,520,NA,NA,CA3251,CA2548,NA,NA,NA,NA,NA,NA,NA,F,M,YX.LX|OX.MX,2012-G-301,2012,2012,2012-YX.LX|OX.MX,NA,NA,31/05/2012,31/05/2012,31/05/2012,31/05/2012,520,527,604,FLOODED,23.92499499,-106.97,0,3,20/05/2012,27/05/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/05/2012,NA,31/05/2012,31/05/2012,F,F,M,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
649,2012,G,302,U,U,515,NA,NA,CA1278,CA1248,NA,NA,NA,NA,NA,NA,NA,F,M,MX.RX|BX.OX,2012-G-302,2008,2007,2012-MX.RX|BX.OX,07/05/2012,07/05/2012,31/05/2012,31/05/2012,31/05/2012,31/05/2012,515,527,604,FLOODED,23.92613088,-106.97,0,3,15/05/2012,27/05/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/2012,NA,07/05/2012,31/05/2012,F,F,M,07/05/2012,07/05/2012,Ceuta,NA,NA,NA,NA,NA,NA,NA
651,2012,G,304,U,U,529,NA,NA,CA3252,CA2596,NA,NA,NA,NA,NA,NA,NA,F,M,YX.OX|OX.MX,2012-G-304,2012,2012,2012-YX.OX|OX.MX,NA,NA,01/06/2012,01/06/2012,01/06/2012,01/06/2012,529,601,604,FLOODED,23.92735573,-106.97,0,3,29/05/2012,01/06/2012,04/06/2012,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/05/2012,NA,01/06/2012,01/06/2012,F,F,M,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
1,2007,S,-10,NA,NA,NA,NA,NA,CA1059,CA1058,CA1060,CA1061,NA,NA,NA,NA,NA,M,F,MX.RX|BX.RX,2007-S--10,2007,2007,NA,31/12/2007,31/12/2007,NA,NA,08/11/2007,08/11/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,NA,NA,NA,NA,NA,NA,08/11/2007,28/11/2007,NA,NA,NA,15/10/2007,28/11/2007,28/11/2007,NA,08/11/2007,TRUE,19.8,6.2,08/11/2007,TRUE,21.3,6.2,NA,NA,NA,NA,21.3,08/11/2007,4.755555556,08/11/2007,09/10/2007,09/10/2007,NA,08/11/2007,31/12/2007,NA,M,F,NA,NA,Maio,yes,yes,NA,NA,NA,NA,03/11/2007
2,2007,S,-12,NA,NA,NA,NA,NA,CA1120,CA1121,CA1122,CA1123,CA1124,NA,NA,NA,NA,M,F,MX.OX|GX.YX,2007-S--12,2007,2007,NA,NA,NA,NA,NA,25/11/2007,25/11/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,25/11/2007,28/11/2007,NA,NA,NA,25/11/2007,28/11/2007,28/11/2007,NA,25/11/2007,TRUE,22.4,7.1,25/11/2007,TRUE,21.6,6.5,25/11/2007,TRUE,21.9,6.3,22.4,25/11/2007,7.2,25/11/2007,23/10/2007,23/10/2007,NA,25/11/2007,28/11/2007,NA,NA,M,NA,NA,Maio,yes,no,NA,NA,NA,NA,17/11/2007
3,2007,S,-13,NA,NA,NA,NA,NA,CA1126,CA1125,CA1127,NA,NA,NA,NA,NA,NA,M,F,MX.OX|RX.BX,2007-S--13,2007,2007,NA,NA,NA,NA,NA,26/11/2007,26/11/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,26/11/2007,26/11/2007,NA,NA,NA,26/11/2007,26/11/2007,26/11/2007,NA,26/11/2007,TRUE,22.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,22.2,26/11/2007,6.755555556,26/11/2007,25/10/2007,25/10/2007,NA,26/11/2007,26/11/2007,NA,NA,NA,NA,NA,Maio,yes,yes,NA,NA,NA,NA,19/11/2007
4,2007,S,-2,NA,NA,NA,NA,NA,CA1017,CA1016,XX.XX|BX.XX,XX.XX|BX.XX,XX.XX|BX.XX,NA,NA,NA,NA,M,F,BX.MX|BX.GX,2007-S--2,2007,2007,NA,23/10/2007,25/10/2007,NA,NA,20/10/2007,20/10/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,NA,NA,NA,NA,NA,NA,19/10/2007,12/11/2007,NA,NA,NA,14/10/2007,12/11/2007,12/11/2007,NA,20/10/2007,TRUE,24.3,10,20/10/2007,TRUE,23.12,9,20/10/2007,TRUE,23.9,10,24.3,20/10/2007,11.42222222,20/10/2007,13/09/2007,13/09/2007,NA,19/10/2007,12/11/2007,NA,M,F,NA,NA,Maio,yes,yes,NA,NA,NA,NA,08/10/2007
